,,,,,,,,,
Constituency,List №,,Party/Allegiance,Candidate(s) won,Not elected,Votes,Votes %,,Seat(s) won
DC(2nd)FC (5),801,,Democratic,"""Albert"" Ho Chun-yan","Kwong Chun-yu, Lam Siu-fai","228,840",14.38, ,1
DC(2nd)FC (5),802,,Democratic,James To Kun-sun,"Andrew Chiu Ka-yin, Au Nok-hin","316,468",19.88, ,1
DC(2nd)FC (5),803,,Independent,,Pamela Peck Wan-kam,"61,321",3.85, ,
DC(2nd)FC (5),804,,DAB/Civil Force,,Lau Kong-wah,"199,732",12.55, ,
DC(2nd)FC (5),805,,ADPL,Frederick Fung Kin-kee,Hui Kam-shing,"262,172",16.47, ,1
DC(2nd)FC (5),806,,DAB,Starry Lee Wai-king,"Hung Lin-cham, Chan Hok-fung, Chu Lap-wai, Ngan Man-yu","277,143",17.41, ,1
DC(2nd)FC (5),807,,FTU,Chan Yuen-han,"Dennis Leung Tsz-wing, Wong Yun-cheong","246,196",15.47, ,1
NTE,1,,LSD,Leung Kwok-hung,,"48,295",10.39, ,1
NTE,2,,FTU,,"Ip Wai-ming, Wong Wang-to, Ching Ngon-lai, Kan Siu-kei, Kent Tsang King-chung, Cheung Kwok-wo","24,458",5.26, ,
NTE,3,,Democratic,Emily Lau Wai-hing,"Ricky Or Yiu-lam, Frankie Lam Siu-ching, Lam Wing-yin","37,039",7.97, ,1
NTE,4,,Independent,,Angel Leung On-kay,"1,077",0.23, ,
NTE,5,,Civil Force/New Forum,,"Scarlett Pong Oi-lan, Lanny Tam, Law Kwong-keung, Chan Kwok-tim, So Chun-man, Lam Chung-yan, Leung Ka-fai, Chan Man-kuen, Tang Wing-cheong","23,988",5.16, ,
NTE,6,,DAB,Elizabeth Quat,"Chong Yuen-tung, Li Sai-wing, Philip Li Ka-leung, Tung Kin-lei, Ki Lai-mei, Wong Ping-fan","46,139",9.93, ,1
NTE,7,,People Power/Frontier,Ray Chan Chi-chuen,Erica Yuen Mi-ming,"38,042",8.19, ,1
NTE,8,,Economic Synergy,,"Yau Wing-kwong, Tong Po-chun, Chan Cho-leung, Pang Shu-wan, Lau Wai-lun, Shing Kwok-chu, Man Chen-fai, Tang Kwong-wing, Lok Shui-sang","5,717",1.23, ,
NTE,9,,DAB,Chan Hak-kan,"Luk Kwok-fan, Wong Pik-kiu,Larm Wai-leung, Clement Woo Kin-man, Yiu Ming","40,997",8.82, ,1
NTE,10,,Labour,Cheung Chiu-hung,Kwok Wing-kin,"39,650",8.53, ,1
NTE,11,,Democratic,,"Richard Tsoi Yiu-cheong, Au Chun-wah, Mak Yun-pui, Kwong Mei-na","10,028",2.16, ,
NTE,12,,Neo Democrats,Gary Fan Kwok-wai,"Yam Kai-bong, Leung Li, Leung Wing-hung, Kwan Wing-yip, Yau Man-chun, Cheung Kam-lun, Cheung Kwok-keung, Michael Yung Ming-chau","28,621",6.16, ,1
NTE,13,,Liberal,James Tien Pei-chun,"Selina Chow Liang Shuk-yee, Leung Chi-wai, Liu Kwok-wah","31,016",6.67, ,1
NTE,14,,Democratic,,"Wong Sing-chi, Law Sai-yan","21,118",4.54, ,
NTE,15,,Civic,Ronny Tong Ka-wah,Alvin Yeung Ngok-kiu,"32,753",7.05, ,1
NTE,16,,Independent,,Raymond Ho Man-kit,"2,875",0.62, ,
NTE,17,,Nonpartisan,,Pong Yat-ming,"6,031",1.30, ,
NTE,18,,Independent,,Christine Fong Kwok-shan,"24,594",5.29, ,
NTE,19,,Nonpartisan,,Chan Kwok-keung,"2,327",0.50, ,
NTW,1,,DAB,Leung Che-cheung,"Tsang Hin-keung, Lui Kin, Christina Maisenne Lee, Wong Wai-ling, Chui Kwan-siu","33,777",6.79, ,1
NTW,2,,FTU,Alice Mak Mei-kuen,"""Michael"" Luk Chung-hung, Manwell Chan, Kot Siu-yuen, Tang Cheuk-him","35,239",7.08, ,1
NTW,3,,Democratic,,"Josephine Chan Shu-ying, Zachary Wong Wai-yin, Li Hung-por, Catherine Wong Lai-sheung, Ho Hang-mui","25,892",5.20, ,
NTW,4,,People Power,Albert Chan Wai-yip,"Jacqueline Chan So-ling, Raymond Lai, Tong Wing-chi","44,355",8.91, ,1
NTW,5,,Democratic Alliance,,Mak Ip-sing,"2,896",0.58, ,
NTW,6,,LSD,,Tsang Kin-shing,"9,280",1.86, ,
NTW,7,,Civic,Kwok Ka-ki,Audrey Eu Yuet-mee,"72,185",14.51, ,1
NTW,8,,NPP,Michael Tien Puk-sun,"Clarice Cheung Wai-ching, ""Legward"" Wong Cheuk-kin, Ho Kin-cheong","37,808",7.60, ,1
NTW,9,,Nonpartisan,,"""Junius"" Ho Kwan-yiu","10,805",2.17, ,
NTW,10,,Independent,,Chan Yut-wah,"11,997",2.41, ,
NTW,11,,NWSC,Leung Yiu-chung,Wong Yun-tat,"42,799",8.60, ,1
NTW,12,,DAB/NTAS,Chan Han-pan,"Poon Chi-shing, Nixie Lam Lam, Chan Chun-chung, Law Kwan, Leung Kar-ming, Tsang Tai","36,555",7.35, ,1
NTW,13,,Third Force,,"Chan Keung, Ting Yin-wah, So Ka-man, Chow Ping-tim, Tang Ka-leung, Nancy Poon Siu-ping, Raju Gurung","16,767",3.37, ,
NTW,14,,Democratic,,"Lee Wing-tat, Lam Lap-chi, Lai King-wai","32,792",6.59, ,
NTW,15,,Labour,Lee Cheuk-yan,Tam Chun-yin,"40,967",8.23, ,1
NTW,16,,DAB,Tam Yiu-chung,"Lung Shui-hing, Yip Man-pan, Mo Shing-fung","43,496",8.74, ,1
KlnE,1,,Civic,Alan Leong Kah-kit,Jeremy Jansen Tam Man-ho,"41,669",14.63, ,1
KlnE,2,,FTU,Wong Kwok-kin,"Kan Ming-tung, Mok Kin-wing, Ho Kai-ming","40,824",14.34, ,1
KlnE,3,,LSD,,Andrew To Kwan-hang,"27,253",9.57, ,
KlnE,4,,Nonpartisan,,"Kay Yim Fung-chi, Chan Heung-yin","3,263",1.15, ,
KlnE,5,,Democratic,Wu Chi-wai,"Mok Kin-shing, Hon Ka-ming","43,764",15.37, ,1
KlnE,6,,DAB,Chan Kam-lam,"Joe Lai Wing-ho, Hung Kam-in, Wilson Or Chong-shing","47,415",16.65, ,1
KlnE,7,,Independent,Paul Tse Wai-chun,,"38,546",13.54, ,1
KlnE,8,,People Power,,"Wong Yeung-tat, Chan Sau-wai","36,608",12.85, ,
KlnE,9,,Independent,,Tam Heung-man,"5,440",1.91, ,
KlnW,1,,Independent,,Wong Yee-him,"3,746",1.61, ,
KlnW,2,,Democratic,"""Helena"" Wong Pik-wan","Cheung Man-kwong, Li Yiu-kee, Yuen Hoi-man, ""Michelle"" Chong Miu-sheung","36,029",15.52, ,1
KlnW,3,,ADPL,,"Tam Kwok-kiu, Liu Sing-lee, Rosanda Mok Ka-han,Wong Chi-yung, Austen Ng Po-shan","30,364",13.2, ,
KlnW,4,,Independent democrat,,Wong Yat-yuk,"2,399",1.03, ,
KlnW,5,,DAB,"""Ann"" Chiang Lai-wan","Chris Ip Ngo-tung, Vincent Cheng Wing-shun, Chan Wai-ming, ""Sam"" Lam Sum-lim","47,363",20.41, ,1
KlnW,6,,People Power,Wong Yuk-man,"Yim Tat-ming, Chau Tsun-kiu, Lau Tit-wai","38,578",16.62, ,1
KlnW,7,,Awakening Association,,"Lam Yi-lai, Simon Ho Ka-kuen, Au Wing-ho, Lee Ka-wai",859,0.37, ,
KlnW,8,,KWND,Leung Mei-fun,"Yang Wing-kit, Wai Hoi-yinh, Leung Man-kwong","34,548",14.89, ,1
KlnW,9,,Civic,Claudia Mo Man-ching,Joe Wong Tak-chuen,"37,925",16.34, ,1
HKi,1,,Nonpartisan,,Hui Ching-on,"2,980",0.90, ,
HKi,2,,Democratic,Sin Chung-kai,"Yeung Sum, Chai Man-hon, Cheng Lai-king, Leung Suk-ching, Hui Chi-fung","40,558",12.26, ,1
HKi,3,,Independent,,Lo Wing-lok,"16,900",5.11, ,
HKi,4,,People Power,,"Christopher Lau Gar-hung, Shiu Yeuk-yuen, Jeff Au Yeung Ying-kit","18,667",5.64, ,
HKi,5,,DAB,Christopher Chung Shu-kun,"Eddie Ting Kong-ho, Jennifer Chow Kit-bing, Kung Pak-cheung, Ngan Chun-lim, Kenny Lee Kwun-yee, Cheng Chi-sing","33,901",10.25, ,1
HKi,6,,Independent,,Ng Wing-chun,422,0.13, ,
HKi,7,,Labour,Cyd Ho Sau-lan,"Cheng Sze-lut, Chung Chung-fai","31,523",9.53, ,1
HKi,8,,NPP,Regina Ip Lau Suk-yee,"Wong Chor-fung, Tse Tsz-kei","30,289",9.16, ,1
HKi,9,,FTU,Wong Kwok-hing,"Pan Pey-chyou, Chu Ting-lok, Stanley Ho Ngai-kam, Chan Chi-hang","27,336",8.26, ,1
HKi,10,,Civic,Chan Ka-lok,Tanya Chan,"70,475",21.31, ,1
HKi,11,,Nonpartisan,,Ho Kar-tai,343,0.10, ,
HKi,12,,DAB,Jasper Tsang Yok-sing,,"36,517",11.04, ,1
HKi,13,,Liberal,,"Miriam Lau Kin-yee, Shiu Ka-fai, ""Micheal"" Lee Chun-keung","17,686",5.35, ,
HKi,14,,LSD,,Avery Ng Man-yuen,"3,169",0.96, ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,